date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:32:22	3630/3630	---MCZ	200	added ('OK')	application/javascript	etag:W/%222aed21263820bcb691a4a99050669c30%22	https://super-tips-rho.vercel.app/js/page.js	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/js/page.js	(from https://super-tips-rho.vercel.app/)
06:32:22	12413/12413	---MCZ	200	added ('OK')	text/css	etag:W/%225bdd15b3064d4c15793ecf211eb7a85a%22	https://super-tips-rho.vercel.app/css/contact.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/contact.css	(from https://super-tips-rho.vercel.app/contact.html)
06:32:23	10912/10912	---MCZ	200	added ('OK')	text/html	etag:W/%227987d75cc05231b7b9be771bfc1d39e5%22	https://super-tips-rho.vercel.app/index.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/index-2.html	(from https://super-tips-rho.vercel.app/contact.html)
06:32:23	6559/6559	---MCZ	200	added ('OK')	text/html	etag:W/%222c5999aa11ea75ca336bd7d1e2d4f3be%22	https://super-tips-rho.vercel.app/signUp.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/signUp.html	(from https://super-tips-rho.vercel.app/contact.html)
06:32:23	12892/12892	---MCZ	200	added ('OK')	text/css	etag:W/%22bf7aea077a6ed19ec2753537280cd05e%22	https://super-tips-rho.vercel.app/css/dashboard.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/dashboard.css	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:23	11782/11782	---MCZ	200	added ('OK')	text/html	etag:W/%22c79b55ec76206107c3a194dd72a8eb75%22	https://super-tips-rho.vercel.app/profile.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/profile.html	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:23	1934/1934	---M--	200	added ('OK')	image/png	etag:%22cd334b94eea80f1bc965f9edabe7c059%22	https://super-tips-rho.vercel.app/images/user.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/user.png	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:24	6207/6207	---M--	200	added ('OK')	image/png	etag:%2267e27781aaa8e3e12948c1e943cd2d6f%22	https://super-tips-rho.vercel.app/images/team1.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/team1.png	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:24	3673/3673	---M--	200	added ('OK')	image/png	etag:%224afd5de83b1c1f8b8214c9ac142633dd%22	https://super-tips-rho.vercel.app/images/team2.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/team2.png	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:24	205488/205488	---M-Z	200	added ('OK')	application/javascript	etag:W/%22322b0-FCE94FYH/xXibLgFDaR/P7I10CY%22	https://cdn.jsdelivr.net/npm/chart.js	C:/My%20Web%20Sites/Supertips%20Final/cdn.jsdelivr.net/npm/chart.js	(from https://super-tips-rho.vercel.app/dashboard.html)
06:32:25	14373/14373	---MCZ	200	added ('OK')	text/css	etag:W/%22c74ccb2bcdb2f4d5610649f58495b561%22	https://super-tips-rho.vercel.app/css/signIn.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/signIn.css	(from https://super-tips-rho.vercel.app/signIn.html)
06:32:25	12722/12722	---MCZ	200	added ('OK')	text/css	etag:W/%22d596efb34f2fa89ce1cd83bd5aab40e0%22	https://super-tips-rho.vercel.app/css/signup.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/signup.css	(from https://super-tips-rho.vercel.app/signUp.html)
06:32:25	12785/12785	---MCZ	200	added ('OK')	text/css	etag:W/%22076b4f14259349b1e7b1656a654bbfd1%22	https://super-tips-rho.vercel.app/css/profile.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/profile.css	(from https://super-tips-rho.vercel.app/profile.html)
